cap_shape	cap_surface	cap_color	bruises	odor	gill_attachment	gill_spacing	gill_size	gill_color	stalk_shape	stalk_root	stalk_surface_above_ring	stalk_surface_below_ring	stalk_color_above_ring	stalk_color_below_ring	veil_type	veil_color	ring_number	ring_type	spore_print_color	population	habitat	can_eat
b	y	y	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	s	m	yes
b	y	w	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	n	m	yes
b	s	w	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	s	m	yes
f	s	w	t	p	f	c	n	n	e	e	s	s	w	w	p	w	o	p	n	v	g	no
x	y	y	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	n	m	yes
x	y	w	t	l	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	n	m	yes
f	f	n	f	n	f	c	n	k	e	e	s	s	w	w	p	w	o	p	k	y	u	yes
x	s	y	t	a	f	w	n	n	t	b	s	s	w	w	p	w	o	p	n	v	d	yes
b	s	y	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	n	m	yes
x	y	w	t	p	f	c	n	k	e	e	s	s	w	w	p	w	o	p	n	s	u	no
x	y	y	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	n	m	yes
x	y	n	t	l	f	c	b	p	e	r	s	y	w	w	p	w	o	p	n	y	p	yes
b	y	y	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	s	m	yes
x	f	y	t	l	f	w	n	w	t	b	s	s	w	w	p	w	o	p	n	v	d	yes
s	f	g	f	n	f	c	n	k	e	e	s	s	w	w	p	w	o	p	k	v	u	yes
x	y	n	t	p	f	c	n	w	e	e	s	s	w	w	p	w	o	p	n	s	u	no
x	f	y	t	a	f	w	n	p	t	b	s	s	w	w	p	w	o	p	n	v	d	yes
b	s	y	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	s	m	yes
b	y	y	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	s	g	yes
x	y	y	t	l	f	c	b	n	e	r	s	y	w	w	p	w	o	p	k	y	p	yes
x	f	n	f	n	f	c	n	g	e	e	s	s	w	w	p	w	o	p	k	y	u	yes
x	y	w	t	p	f	c	n	p	e	e	s	s	w	w	p	w	o	p	n	v	g	no
x	s	y	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	k	n	m	yes
x	y	w	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	n	g	yes
x	y	y	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	s	m	yes
x	s	w	t	l	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	n	m	yes
x	y	y	t	l	f	c	b	n	e	r	s	y	w	w	p	w	o	p	n	s	p	yes
f	y	y	t	l	f	c	b	w	e	r	s	y	w	w	p	w	o	p	k	s	p	yes
x	y	n	t	a	f	c	b	w	e	r	s	y	w	w	p	w	o	p	k	s	g	yes
x	s	w	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	s	g	yes
b	s	w	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	n	m	yes
x	y	n	t	p	f	c	n	k	e	e	s	s	w	w	p	w	o	p	n	v	u	no
x	s	w	t	p	f	c	n	k	e	e	s	s	w	w	p	w	o	p	k	v	u	no
b	y	y	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	k	s	m	yes
f	f	g	f	n	f	w	b	n	t	e	s	s	w	w	p	w	o	e	n	a	g	yes
b	s	w	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	n	g	yes
x	s	y	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	n	g	yes
x	y	n	t	a	f	c	b	p	e	r	s	y	w	w	p	w	o	p	k	y	p	yes
s	f	g	f	n	f	c	n	k	e	e	s	s	w	w	p	w	o	p	n	v	u	yes
b	y	y	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	s	m	yes
b	s	y	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	s	m	yes
b	y	y	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	n	m	yes
b	y	w	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	s	g	yes
f	s	n	f	n	f	w	b	k	t	e	s	s	w	w	p	w	o	e	k	a	g	yes
x	s	w	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	s	g	yes
f	y	y	t	a	f	c	b	w	e	r	s	y	w	w	p	w	o	p	n	s	g	yes
x	y	y	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	k	n	g	yes
x	f	g	f	n	f	c	n	p	e	e	s	s	w	w	p	w	o	p	n	v	u	yes
f	f	y	t	l	f	w	n	p	t	b	s	s	w	w	p	w	o	p	n	v	d	yes
b	y	w	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	s	m	yes
f	f	y	t	l	f	w	n	w	t	b	s	s	w	w	p	w	o	p	n	v	d	yes
x	y	n	t	a	f	c	b	p	e	r	s	y	w	w	p	w	o	p	k	s	p	yes
b	s	y	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	s	g	yes
f	s	y	t	l	f	w	n	p	t	b	s	s	w	w	p	w	o	p	n	v	d	yes
x	s	w	t	l	f	w	n	n	t	b	s	s	w	w	p	w	o	p	u	v	d	yes
f	y	n	t	l	f	c	b	p	e	r	s	y	w	w	p	w	o	p	n	y	p	yes
x	y	n	t	p	f	c	n	w	e	e	s	s	w	w	p	w	o	p	n	v	u	no
f	y	n	t	a	f	c	b	n	e	r	s	y	w	w	p	w	o	p	n	y	g	yes
x	s	n	f	n	f	w	b	k	t	e	f	s	w	w	p	w	o	e	n	s	g	yes
x	y	w	t	p	f	c	n	w	e	e	s	s	w	w	p	w	o	p	k	s	g	no
f	f	g	f	n	f	c	n	n	e	e	s	s	w	w	p	w	o	p	n	y	u	yes
x	f	g	f	n	f	w	b	n	t	e	s	s	w	w	p	w	o	e	n	s	g	yes
x	y	y	t	l	f	c	b	w	e	r	s	y	w	w	p	w	o	p	k	s	g	yes
x	s	n	f	n	f	w	b	k	t	e	s	s	w	w	p	w	o	e	k	s	g	yes
b	s	w	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	k	s	g	yes
x	s	w	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	s	g	yes
f	y	n	t	l	f	c	b	w	e	r	s	y	w	w	p	w	o	p	k	y	g	yes
s	f	n	f	n	f	c	n	n	e	e	s	s	w	w	p	w	o	p	n	v	u	yes
x	f	n	f	n	f	c	n	n	e	e	s	s	w	w	p	w	o	p	n	y	u	yes
b	s	w	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	s	g	yes
x	y	y	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	s	g	yes
x	y	y	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	n	m	yes
x	s	n	f	n	f	w	b	n	t	e	s	s	w	w	p	w	o	e	n	a	g	yes
x	s	w	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	s	g	yes
f	y	n	t	l	f	c	b	p	e	r	s	y	w	w	p	w	o	p	n	s	g	yes
x	s	y	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	n	g	yes
b	s	w	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	s	g	yes
x	y	w	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	s	g	yes
f	y	g	t	n	f	c	b	p	t	b	s	s	g	w	p	w	o	p	n	y	d	yes
f	y	e	t	n	f	c	b	n	t	b	s	s	g	g	p	w	o	p	n	y	d	yes
f	y	g	t	n	f	c	b	n	t	b	s	s	g	p	p	w	o	p	k	v	d	yes
x	s	w	f	c	f	c	n	g	e	b	s	s	w	w	p	w	o	p	n	s	d	no
x	f	w	f	c	f	w	n	n	e	b	s	s	w	w	p	w	o	p	n	s	d	no
f	f	n	t	n	f	c	b	n	t	b	s	s	w	w	p	w	o	p	k	v	d	yes
f	f	e	t	n	f	c	b	u	t	b	s	s	w	p	p	w	o	p	k	y	d	yes
f	y	e	t	n	f	c	b	n	t	b	s	s	g	p	p	w	o	p	n	y	d	yes
x	f	e	t	n	f	c	b	n	t	b	s	s	w	g	p	w	o	p	k	y	d	yes
x	s	p	f	c	f	w	n	u	e	b	s	s	w	w	p	w	o	p	n	s	d	no
x	y	n	t	n	f	c	b	w	t	b	s	s	p	p	p	w	o	p	k	y	d	yes
x	f	e	t	n	f	c	b	p	t	b	s	s	w	g	p	w	o	p	k	v	d	yes
x	y	n	t	n	f	c	b	p	t	b	s	s	w	w	p	w	o	p	n	y	d	yes
x	y	e	t	n	f	c	b	u	t	b	s	s	p	g	p	w	o	p	k	v	d	yes
x	s	w	f	n	f	w	b	k	t	e	s	s	w	w	p	w	o	e	n	s	g	yes
f	f	g	t	n	f	c	b	p	t	b	s	s	g	p	p	w	o	p	n	v	d	yes
x	f	g	f	f	f	c	b	h	e	b	k	k	n	p	p	w	o	l	h	y	d	no
f	f	g	t	n	f	c	b	p	t	b	s	s	g	w	p	w	o	p	n	v	d	yes
f	f	g	t	n	f	c	b	n	t	b	s	s	w	p	p	w	o	p	k	y	d	yes
f	f	g	t	n	f	c	b	u	t	b	s	s	w	w	p	w	o	p	k	y	d	yes
x	s	w	f	c	f	w	n	g	e	b	s	s	w	w	p	w	o	p	n	s	d	no
x	y	e	t	n	f	c	b	n	t	b	s	s	w	p	p	w	o	p	k	v	d	yes
f	y	e	t	n	f	c	b	u	t	b	s	s	p	g	p	w	o	p	k	v	d	yes
x	f	g	f	f	f	c	b	g	e	b	k	k	p	b	p	w	o	l	h	y	d	no
f	f	e	t	n	f	c	b	w	t	b	s	s	w	g	p	w	o	p	k	y	d	yes
x	f	g	f	f	f	c	b	p	e	b	k	k	n	b	p	w	o	l	h	v	p	no
x	f	p	f	c	f	w	n	g	e	b	s	s	w	w	p	w	o	p	k	s	d	no
f	y	g	t	n	f	c	b	w	t	b	s	s	p	w	p	w	o	p	k	v	d	yes
x	f	g	f	f	f	c	b	g	e	b	k	k	n	p	p	w	o	l	h	v	p	no
x	f	w	f	c	f	c	n	g	e	b	s	s	w	w	p	w	o	p	n	s	d	no
x	f	g	f	f	f	c	b	p	e	b	k	k	p	p	p	w	o	l	h	v	p	no
f	y	e	t	n	f	c	b	w	t	b	s	s	p	g	p	w	o	p	n	v	d	yes
x	y	g	f	f	f	c	b	p	e	b	k	k	n	p	p	w	o	l	h	v	p	no
x	s	g	f	c	f	w	n	u	e	b	s	s	w	w	p	w	o	p	n	s	d	no
f	y	g	t	n	f	c	b	n	t	b	s	s	g	g	p	w	o	p	n	y	d	yes
f	y	n	t	n	f	c	b	p	t	b	s	s	g	p	p	w	o	p	k	v	d	yes
f	f	e	t	n	f	c	b	n	t	b	s	s	w	w	p	w	o	p	n	y	d	yes
x	f	g	f	f	f	c	b	p	e	b	k	k	n	n	p	w	o	l	h	v	p	no
x	f	p	f	c	f	w	n	g	e	b	s	s	w	w	p	w	o	p	k	v	d	no
x	y	n	t	n	f	c	b	p	t	b	s	s	g	p	p	w	o	p	n	v	d	yes
f	f	e	t	n	f	c	b	w	t	b	s	s	p	p	p	w	o	p	k	y	d	yes
f	y	n	t	n	f	c	b	w	t	b	s	s	w	g	p	w	o	p	k	y	d	yes
f	y	g	t	n	f	c	b	n	t	b	s	s	g	g	p	w	o	p	k	v	d	yes
x	y	g	f	f	f	c	b	g	e	b	k	k	n	p	p	w	o	l	h	v	g	no
f	y	n	t	n	f	c	b	u	t	b	s	s	w	w	p	w	o	p	n	v	d	yes
x	f	p	f	c	f	c	n	u	e	b	s	s	w	w	p	w	o	p	k	v	d	no
x	f	w	f	c	f	c	n	n	e	b	s	s	w	w	p	w	o	p	k	s	d	no
f	f	e	t	n	f	c	b	w	t	b	s	s	g	w	p	w	o	p	n	y	d	yes
f	y	n	t	n	f	c	b	p	t	b	s	s	g	w	p	w	o	p	n	y	d	yes
f	y	e	t	n	f	c	b	u	t	b	s	s	g	p	p	w	o	p	k	v	d	yes
f	y	g	t	n	f	c	b	u	t	b	s	s	g	w	p	w	o	p	k	v	d	yes
x	f	g	f	f	f	c	b	g	e	b	k	k	b	b	p	w	o	l	h	v	d	no
x	f	g	f	f	f	c	b	p	e	b	k	k	n	b	p	w	o	l	h	y	p	no
f	f	e	t	n	f	c	b	p	t	b	s	s	w	w	p	w	o	p	k	y	d	yes
x	y	y	f	f	f	c	b	g	e	b	k	k	p	n	p	w	o	l	h	v	g	no
x	s	p	f	c	f	c	n	u	e	b	s	s	w	w	p	w	o	p	k	s	d	no
f	f	e	t	n	f	c	b	p	t	b	s	s	g	w	p	w	o	p	n	y	d	yes
f	f	y	f	f	f	c	b	p	e	b	k	k	b	n	p	w	o	l	h	v	d	no
f	y	e	t	n	f	c	b	u	t	b	s	s	g	p	p	w	o	p	k	y	d	yes
f	y	e	t	n	f	c	b	n	t	b	s	s	w	g	p	w	o	p	n	v	d	yes
x	f	n	t	n	f	c	b	u	t	b	s	s	w	w	p	w	o	p	k	y	d	yes
f	f	e	t	n	f	c	b	w	t	b	s	s	g	p	p	w	o	p	k	v	d	yes
f	f	g	t	n	f	c	b	w	t	b	s	s	w	p	p	w	o	p	n	v	d	yes
x	f	g	f	f	f	c	b	p	e	b	k	k	b	b	p	w	o	l	h	v	g	no
f	y	e	t	n	f	c	b	u	t	b	s	s	p	p	p	w	o	p	n	y	d	yes
f	f	g	f	f	f	c	b	h	e	b	k	k	n	b	p	w	o	l	h	y	p	no
f	y	e	t	n	f	c	b	u	t	b	s	s	g	w	p	w	o	p	n	y	d	yes
f	f	e	t	n	f	c	b	p	t	b	s	s	p	w	p	w	o	p	k	v	d	yes
f	f	g	t	n	f	c	b	w	t	b	s	s	g	g	p	w	o	p	n	y	d	yes
x	f	g	f	f	f	c	b	g	e	b	k	k	b	p	p	w	o	l	h	y	g	no
f	y	g	t	n	f	c	b	u	t	b	s	s	p	g	p	w	o	p	k	v	d	yes
f	y	g	t	n	f	c	b	u	t	b	s	s	g	p	p	w	o	p	k	y	d	yes
x	f	g	f	f	f	c	b	h	e	b	k	k	n	n	p	w	o	l	h	v	g	no
x	f	w	f	c	f	c	n	u	e	b	s	s	w	w	p	w	o	p	n	s	d	no
f	f	e	t	n	f	c	b	w	t	b	s	s	w	g	p	w	o	p	k	v	d	yes
x	f	y	f	f	f	c	b	g	e	b	k	k	n	b	p	w	o	l	h	v	d	no
f	y	e	t	n	f	c	b	w	t	b	s	s	p	g	p	w	o	p	n	y	d	yes
f	y	g	t	n	f	c	b	n	t	b	s	s	p	p	p	w	o	p	n	v	d	yes
f	f	e	t	n	f	c	b	n	t	b	s	s	w	g	p	w	o	p	k	v	d	yes
f	f	g	t	n	f	c	b	u	t	b	s	s	w	p	p	w	o	p	n	v	d	yes
f	y	g	t	n	f	c	b	w	t	b	s	s	g	g	p	w	o	p	k	v	d	yes
f	f	e	t	n	f	c	b	p	t	b	s	s	p	g	p	w	o	p	n	v	d	yes
x	s	g	f	c	f	w	n	g	e	b	s	s	w	w	p	w	o	p	k	v	d	no
f	y	g	t	n	f	c	b	u	t	b	s	s	w	w	p	w	o	p	n	y	d	yes
f	y	n	t	n	f	c	b	w	t	b	s	s	w	g	p	w	o	p	n	y	d	yes
f	y	g	t	n	f	c	b	n	t	b	s	s	p	g	p	w	o	p	n	y	d	yes
f	y	g	t	n	f	c	b	n	t	b	s	s	w	p	p	w	o	p	n	y	d	yes
f	y	n	t	n	f	c	b	w	t	b	s	s	g	w	p	w	o	p	k	y	d	yes
x	f	g	t	n	f	c	b	n	t	b	s	s	w	g	p	w	o	p	n	v	d	yes
f	f	g	t	n	f	c	b	u	t	b	s	s	g	p	p	w	o	p	n	y	d	yes
x	f	g	f	f	f	c	b	p	e	b	k	k	p	b	p	w	o	l	h	y	p	no
x	s	w	f	c	f	w	n	p	e	b	s	s	w	w	p	w	o	p	k	v	d	no
f	f	g	t	n	f	c	b	u	t	b	s	s	p	g	p	w	o	p	k	v	d	yes
f	f	g	t	n	f	c	b	w	t	b	s	s	g	w	p	w	o	p	k	v	d	yes
f	y	g	t	n	f	c	b	n	t	b	s	s	w	g	p	w	o	p	n	v	d	yes
x	f	g	f	f	f	c	b	h	e	b	k	k	p	b	p	w	o	l	h	y	p	no
x	s	w	f	c	f	w	n	u	e	b	s	s	w	w	p	w	o	p	n	s	d	no
x	f	g	f	f	f	c	b	p	e	b	k	k	n	n	p	w	o	l	h	y	p	no
x	y	g	t	n	f	c	b	n	t	b	s	s	p	p	p	w	o	p	k	y	d	yes
x	f	g	f	f	f	c	b	h	e	b	k	k	b	n	p	w	o	l	h	v	g	no
f	y	e	t	n	f	c	b	p	t	b	s	s	w	w	p	w	o	p	n	y	d	yes
f	y	g	t	n	f	c	b	p	t	b	s	s	w	p	p	w	o	p	n	y	d	yes
x	f	g	t	n	f	c	b	w	t	b	s	s	g	w	p	w	o	p	k	v	d	yes
x	f	g	f	f	f	c	b	h	e	b	k	k	b	b	p	w	o	l	h	v	d	no
f	y	g	t	n	f	c	b	p	t	b	s	s	p	w	p	w	o	p	k	y	d	yes
f	y	g	t	n	f	c	b	n	t	b	s	s	p	p	p	w	o	p	k	v	d	yes
x	s	w	f	c	f	c	n	p	e	b	s	s	w	w	p	w	o	p	k	s	d	no
x	y	y	f	f	f	c	b	g	e	b	k	k	b	n	p	w	o	l	h	y	g	no
f	f	e	t	n	f	c	b	n	t	b	s	s	p	g	p	w	o	p	k	y	d	yes
f	y	e	t	n	f	c	b	u	t	b	s	s	w	w	p	w	o	p	n	v	d	yes
f	y	e	t	n	f	c	b	p	t	b	s	s	w	g	p	w	o	p	n	y	d	yes
x	s	p	f	c	f	c	n	g	e	b	s	s	w	w	p	w	o	p	k	s	d	no
f	f	e	t	n	f	c	b	u	t	b	s	s	w	w	p	w	o	p	k	v	d	yes
f	f	g	t	n	f	c	b	u	t	b	s	s	g	p	p	w	o	p	k	y	d	yes
f	f	g	t	n	f	c	b	w	t	b	s	s	w	w	p	w	o	p	n	y	d	yes
f	f	g	t	n	f	c	b	u	t	b	s	s	g	p	p	w	o	p	n	v	d	yes
x	f	g	f	f	f	c	b	h	e	b	k	k	b	b	p	w	o	l	h	v	p	no
f	y	n	t	n	f	c	b	p	t	b	s	s	p	g	p	w	o	p	n	y	d	yes
f	y	g	t	n	f	c	b	n	t	b	s	s	w	g	p	w	o	p	k	v	d	yes
f	y	n	t	n	f	c	b	u	t	b	s	s	p	p	p	w	o	p	k	y	d	yes
x	s	p	f	c	f	c	n	n	e	b	s	s	w	w	p	w	o	p	k	s	d	no
f	y	e	t	n	f	c	b	n	t	b	s	s	p	p	p	w	o	p	k	y	d	yes
f	y	g	t	n	f	c	b	p	t	b	s	s	g	p	p	w	o	p	k	v	d	yes
f	y	e	t	n	f	c	b	n	t	b	s	s	w	p	p	w	o	p	k	y	d	yes
x	s	w	f	c	f	c	n	u	e	b	s	s	w	w	p	w	o	p	k	s	d	no
x	f	g	f	f	f	c	b	h	e	b	k	k	n	n	p	w	o	l	h	v	p	no
f	y	n	t	n	f	c	b	w	t	b	s	s	w	p	p	w	o	p	n	v	d	yes
x	f	g	f	f	f	c	b	g	e	b	k	k	p	p	p	w	o	l	h	v	g	no
x	f	w	f	c	f	c	n	n	e	b	s	s	w	w	p	w	o	p	n	s	d	no
f	y	n	t	n	f	c	b	w	t	b	s	s	g	g	p	w	o	p	k	y	d	yes
f	y	g	t	n	f	c	b	p	t	b	s	s	w	w	p	w	o	p	n	v	d	yes
f	y	g	t	n	f	c	b	n	t	b	s	s	w	w	p	w	o	p	n	v	d	yes
f	y	g	t	n	f	c	b	w	t	b	s	s	w	p	p	w	o	p	n	v	d	yes
x	f	w	f	c	f	w	n	p	e	b	s	s	w	w	p	w	o	p	n	v	d	no
f	f	e	t	n	f	c	b	u	t	b	s	s	w	w	p	w	o	p	n	v	d	yes
x	f	g	f	f	f	c	b	g	e	b	k	k	p	b	p	w	o	l	h	v	g	no
f	y	n	t	n	f	c	b	w	t	b	s	s	g	w	p	w	o	p	n	y	d	yes
f	y	n	t	n	f	c	b	p	t	b	s	s	p	g	p	w	o	p	n	v	d	yes
x	s	p	f	c	f	c	n	u	e	b	s	s	w	w	p	w	o	p	k	v	d	no
f	y	g	t	n	f	c	b	n	t	b	s	s	w	g	p	w	o	p	n	y	d	yes
x	s	p	f	c	f	c	n	g	e	b	s	s	w	w	p	w	o	p	n	v	d	no
x	y	n	t	n	f	c	b	n	t	b	s	s	w	p	p	w	o	p	n	y	d	yes
x	y	g	f	f	f	c	b	p	e	b	k	k	b	b	p	w	o	l	h	y	g	no
f	y	e	t	n	f	c	b	w	t	b	s	s	g	w	p	w	o	p	k	y	d	yes
x	f	p	f	c	f	c	n	p	e	b	s	s	w	w	p	w	o	p	n	s	d	no
x	f	g	f	f	f	c	b	p	e	b	k	k	p	n	p	w	o	l	h	v	p	no
f	f	e	t	n	f	c	b	u	t	b	s	s	w	g	p	w	o	p	n	y	d	yes
f	f	e	t	n	f	c	b	w	t	b	s	s	g	w	p	w	o	p	k	y	d	yes
x	f	g	f	c	f	c	n	u	e	b	s	s	w	w	p	w	o	p	n	s	d	no
x	f	g	f	f	f	c	b	p	e	b	k	k	n	n	p	w	o	l	h	v	g	no
f	y	g	t	n	f	c	b	n	t	b	s	s	w	w	p	w	o	p	n	y	d	yes
x	f	g	f	f	f	c	b	p	e	b	k	k	n	b	p	w	o	l	h	v	d	no
f	f	e	t	n	f	c	b	w	t	b	s	s	p	p	p	w	o	p	k	v	d	yes
f	y	n	t	n	f	c	b	u	t	b	s	s	w	p	p	w	o	p	k	v	d	yes
f	y	y	f	f	f	c	b	h	e	b	k	k	b	n	p	w	o	l	h	y	d	no
f	y	e	t	n	f	c	b	n	t	b	s	s	w	w	p	w	o	p	k	y	d	yes
f	y	e	t	n	f	c	b	p	t	b	s	s	w	w	p	w	o	p	k	v	d	yes
f	y	n	t	n	f	c	b	w	t	b	s	s	g	g	p	w	o	p	n	y	d	yes
x	f	n	t	n	f	c	b	w	t	b	s	s	g	p	p	w	o	p	k	v	d	yes
f	y	g	f	f	f	c	b	g	e	b	k	k	p	b	p	w	o	l	h	v	d	no
f	y	g	t	n	f	c	b	u	t	b	s	s	g	w	p	w	o	p	n	v	d	yes
f	f	e	t	n	f	c	b	w	t	b	s	s	p	w	p	w	o	p	k	y	d	yes
f	y	n	t	n	f	c	b	p	t	b	s	s	p	p	p	w	o	p	n	v	d	yes
x	y	g	t	n	f	c	b	p	t	b	s	s	p	w	p	w	o	p	n	y	d	yes
x	y	n	t	n	f	c	b	w	t	b	s	s	g	w	p	w	o	p	k	v	d	yes
x	f	g	f	f	f	c	b	p	e	b	k	k	b	b	p	w	o	l	h	v	d	no
x	s	w	f	c	f	w	n	g	e	b	s	s	w	w	p	w	o	p	n	v	d	no
f	f	y	f	f	f	c	b	g	e	b	k	k	n	b	p	w	o	l	h	v	p	no
f	y	n	t	n	f	c	b	u	t	b	s	s	p	g	p	w	o	p	n	v	d	yes
f	y	e	t	n	f	c	b	p	t	b	s	s	p	g	p	w	o	p	k	y	d	yes
f	f	e	t	n	f	c	b	u	t	b	s	s	p	g	p	w	o	p	n	y	d	yes
f	f	e	t	n	f	c	b	w	t	b	s	s	p	p	p	w	o	p	n	y	d	yes
f	y	e	t	n	f	c	b	w	t	b	s	s	g	p	p	w	o	p	n	v	d	yes
f	y	n	t	n	f	c	b	n	t	b	s	s	g	g	p	w	o	p	k	y	d	yes
f	y	e	t	n	f	c	b	n	t	b	s	s	w	g	p	w	o	p	k	v	d	yes
x	y	g	f	f	f	c	b	h	e	b	k	k	n	n	p	w	o	l	h	y	g	no
f	y	e	t	n	f	c	b	w	t	b	s	s	p	p	p	w	o	p	n	y	d	yes
f	y	n	t	n	f	c	b	p	t	b	s	s	w	w	p	w	o	p	n	y	d	yes
x	f	g	f	f	f	c	b	p	e	b	k	k	p	n	p	w	o	l	h	v	d	no
x	f	w	f	c	f	w	n	p	e	b	s	s	w	w	p	w	o	p	k	s	d	no
x	f	g	f	c	f	w	n	p	e	b	s	s	w	w	p	w	o	p	k	v	d	no
x	y	n	t	n	f	c	b	u	t	b	s	s	w	g	p	w	o	p	n	y	d	yes
f	f	y	f	f	f	c	b	h	e	b	k	k	p	p	p	w	o	l	h	v	p	no
x	s	g	f	c	f	w	n	n	e	b	s	s	w	w	p	w	o	p	n	v	d	no
f	y	e	t	n	f	c	b	w	t	b	s	s	g	w	p	w	o	p	n	v	d	yes
f	y	e	t	n	f	c	b	u	t	b	s	s	w	w	p	w	o	p	n	y	d	yes
f	f	e	t	n	f	c	b	p	t	b	s	s	g	p	p	w	o	p	k	v	d	yes
x	f	y	f	f	f	c	b	p	e	b	k	k	b	n	p	w	o	l	h	v	d	no
f	y	n	t	n	f	c	b	u	t	b	s	s	g	g	p	w	o	p	n	v	d	yes
f	f	e	t	n	f	c	b	w	t	b	s	s	w	w	p	w	o	p	n	v	d	yes
f	y	e	t	n	f	c	b	u	t	b	s	s	p	w	p	w	o	p	n	v	d	yes
x	f	y	f	f	f	c	b	p	e	b	k	k	p	p	p	w	o	l	h	v	p	no
x	f	g	f	c	f	c	n	n	e	b	s	s	w	w	p	w	o	p	n	v	d	no
